date,time,open,high,low,close,volume
2025.05.01,21:00,145.525,145.728,145.513,145.673,5121
2025.05.01,22:00,145.672,145.702,145.495,145.535,4191
2025.05.01,23:00,145.534,145.552,145.319,145.376,3600
2025.05.02,00:00,145.377,145.509,145.185,145.221,735
2025.05.02,01:00,145.203,145.398,145.203,145.332,1938
2025.05.02,02:00,145.333,145.609,145.331,145.399,3391
2025.05.02,03:00,145.398,145.914,145.313,145.868,8045
2025.05.02,04:00,145.869,145.869,145.422,145.428,6779
2025.05.02,05:00,145.429,145.503,145.291,145.461,4493
2025.05.02,06:00,145.461,145.47,145.143,145.213,4244
2025.05.02,07:00,145.211,145.42,145.207,145.386,5460
2025.05.02,08:00,145.386,145.409,145.176,145.242,5460
2025.05.02,09:00,145.245,145.296,145.036,145.197,6722
2025.05.02,10:00,145.195,145.26,145.035,145.118,5911
2025.05.02,11:00,145.119,145.201,144.813,144.822,5636
2025.05.02,12:00,144.816,144.9,144.431,144.568,7107
2025.05.02,13:00,144.567,144.81,144.538,144.655,4940
2025.05.02,14:00,144.662,144.708,144.356,144.554,5865
2025.05.02,15:00,144.555,144.953,144.326,144.633,12230
2025.05.02,16:00,144.635,144.635,143.722,143.856,14556
2025.05.02,17:00,143.858,144.153,143.72,144.005,12405
2025.05.02,18:00,144.005,144.631,144.001,144.518,9279
2025.05.02,19:00,144.518,144.792,144.481,144.665,8739
2025.05.02,20:00,144.664,144.775,144.572,144.722,6128
2025.05.02,21:00,144.721,145.081,144.669,145.025,5576
2025.05.02,22:00,145.017,145.068,144.879,144.973,5701
2025.05.02,23:00,144.974,145.056,144.844,144.913,2622
2025.05.05,00:00,144.639,144.85,144.632,144.802,424
2025.05.05,01:00,144.795,144.984,144.659,144.756,3458
2025.05.05,02:00,144.756,144.855,144.499,144.64,3143
2025.05.05,03:00,144.637,144.789,144.603,144.635,4368
2025.05.05,04:00,144.628,144.628,144.09,144.231,6732
2025.05.05,05:00,144.231,144.312,144.054,144.167,4136
2025.05.05,06:00,144.165,144.341,144.152,144.289,3369
2025.05.05,07:00,144.288,144.289,144.089,144.139,3152
2025.05.05,08:00,144.14,144.228,143.954,144.174,4487
2025.05.05,09:00,144.175,144.415,144.164,144.321,5855
2025.05.05,10:00,144.315,144.421,144.188,144.356,5669
2025.05.05,11:00,144.357,144.363,143.883,144.043,6321
2025.05.05,12:00,144.039,144.068,143.806,143.86,5664
2025.05.05,13:00,143.858,143.997,143.794,143.953,4807
2025.05.05,14:00,143.955,143.97,143.738,143.839,5013
